species,volume_male,volume_female,voltinism,volume
Pelurga comitata,25.5097516792871,29.8692323063736,1,29.8692323063736
Pennithera firmata,19.0077656512355,40.5248261099381,1,40.5248261099381
Perizoma affinitata,27.6210289299698,18.9598862736025,1,18.9598862736025
Perizoma alchemillata,,,1.5,12.5716291679915
Perizoma bifaciata,10.3552060345633,12.9995587282835,1.5,12.9995587282835
Perizoma blandiata,8.95825510986275,12.8165311558117,1,12.8165311558117
Perizoma flavofasciata,18.2262661855404,26.7572822389012,1.5,26.7572822389012
Perizoma hydrata,11.965794021656,20.4675504036291,1.5,20.4675504036291
Perizoma incultaria,,,1,11.0861916567046
Perizoma lugdunaria,15.6658818560788,15.024873688033,1,15.024873688033
Perizoma minorata,7.45331187510774,9.38979422052875,1,9.38979422052875
Perizoma obsoletata,19.8191203284412,25.191082473313,1,25.191082473313
Phaiogramma etruscaria,12.998626548167,20.3552436474495,2,20.3552436474495
Phaiogramma faustinata,15.7598611287687,26.121210241938,3,26.121210241938
Phibalapteryx virgata,14.8893952927301,12.645631933281,2,12.645631933281
Philereme transversata,44.2846499703315,38.6441102471265,1,38.6441102471265
Philereme vetulata,24.8141654709976,25.6116000573039,1,25.6116000573039
Pieris brassicae,96.0772596822403,82.2210774689525,3,82.2210774689525
Plebejus argus argus,13.5303339402685,14.7044796191083,2,14.7044796191083
Plebejus argyrognomon,17.8820756491471,22.3486005013089,1.5,22.3486005013089
Plebejus idas idas,16.6001778624702,22.534140886899,1.5,22.534140886899
Plebejus pylaon sephirus,,,1,23.965477969328
Plebicula dorylas,42.3470327159845,23.9590427843435,1.5,23.9590427843435
Plebicula golgus golgus,24.8771068310786,21.031406022917,1,21.031406022917
Plebicula nivescens,28.8404359684773,27.729249339029,1,27.729249339029
Plemyria rubiginata,13.3807114670504,33.4360993049635,1,33.4360993049635
Polygonia c-album,138.641733127899,142.503968786368,2,142.503968786368
Polygonia egea,159.771998190515,123.075564363847,2.5,123.075564363847
Polyommatus eros,27.8361076711739,18.2699296108194,1,18.2699296108194
Polyommatus icarus icarus,31.3634902665239,19.7446371587171,2,19.7446371587171
Pontia callidice,74.9946403121546,66.3908650210039,1,66.3908650210039
Pontia chloridice,35.0469037533567,33.1581397197409,2,33.1581397197409
Pontia daplidice,78.1941189503931,83.6891487323349,3,83.6891487323349
Problepsis ocellata,77.7837646511755,71.972678560635,2,71.972678560635
Proclossiana eunomia eunomia,,,1,68.6537486631537
Proterebia afra,70.6359197047453,69.6897091718336,1,69.6897091718336
Proteuchloris neriaria,20.459101895796,28.9353284130333,2,28.9353284130333
Pseudaricia nicias,22.9335990363096,15.8029820818567,1,15.8029820818567
Pseudochazara anthelea anthelea,64.9565859269211,129.772283012213,1,129.772283012213
Pseudochazara cingovskii,120.348945203749,112.40880581226,1,112.40880581226
Pseudochazara geyeri,71.6056290902337,80.7392271636472,1,80.7392271636472
Pseudochazara graeca graeca,123.860210044115,57.4319926473036,1,57.4319926473036
Pseudochazara mniszechii,87.6386690352876,105.334794651652,1,105.334794651652
Pseudochazara orestes,119.719749460764,135.716762797288,1,135.716762797288
Pseudophilotes abencerragus,11.9302966959185,8.45813454209089,1.5,8.45813454209089
Pseudophilotes baton,13.2241561806107,11.7965804042201,1.5,11.7965804042201
Pseudophilotes bavius macedonicus,,,1,12.0353972692018
Pseudophilotes panoptes,13.4156923114699,12.4533863679661,2,12.4533863679661
Pseudophilotes vicrama,13.1690772535729,15.5326521755907,2,15.5326521755907
Pseudotergumia fidia,86.0325243237068,79.4343072047629,1,79.4343072047629
Pseudoterpna coronillaria,43.6916749527852,54.6164009100864,2,54.6164009100864
Pseudoterpna corsicaria,38.8380884338617,42.6980370506765,1,42.6980370506765
Pseudoterpna pruinata,51.1318721695793,65.1376146072978,1,65.1376146072978
Pterapherapteryx sexalata,7.43589651609087,9.21356818797365,1,9.21356818797365
Pyrgus alveus alveus,77.0877214690295,59.9633888518117,1,59.9633888518117
Pyrgus andromedae,61.902599075127,62.1186693487398,1,62.1186693487398
Pyrgus armoricanus,59.7355430834529,60.3868150860374,1.5,60.3868150860374
Pyrgus cacaliae,60.3692300492915,74.2658854051787,1,74.2658854051787
Pyrgus carlinae carlinae,39.00078866094,65.5215862308066,1,65.5215862308066
Pyrgus carlinae cirsii,,,1,97.297315639141
Pyrgus carthami carthami,68.7314848039912,91.7553104964382,1,91.7553104964382
Pyrgus centaureae,46.0783600280552,56.4643538421691,1,56.4643538421691
Pyrgus cinarae,91.1937661252296,117.212291548548,1,117.212291548548
Pyrgus foulquieri,82.7573950212461,82.4725040193265,1,82.4725040193265
Pyrgus malvae,31.1693174973724,36.2560184061576,1.5,36.2560184061576
Pyrgus onopordi,53.05192569711,78.6928010979102,2.5,78.6928010979102
Pyrgus serratulae,58.7050346064961,67.2047371664095,1,67.2047371664095
Pyrgus sidae sidae,86.182671191882,120.232113824504,1,120.232113824504
Pyrgus warrenensis,35.5988698283962,40.3855972704542,1,40.3855972704542
Pyronia bathseba,41.6024058423396,59.3509067142729,1,59.3509067142729
Pyronia cecilia,25.2764085697431,48.4738203978957,1,48.4738203978957
Pyronia tithonus,28.9772283381833,32.7790820005069,1,32.7790820005069
Quercusia quercus,71.806549865862,54.5658774460303,1,54.5658774460303
Rheumaptera hastata,27.6140691172742,30.5105098484822,1,30.5105098484822
Rhodometra sacraria,14.9567256966209,20.5862107644858,3,20.5862107644858
Rhodostrophia badiaria,25.0335191289245,38.7935109057002,1,38.7935109057002
Rhodostrophia calabra,39.3871272383396,48.5216631555525,1,48.5216631555525
Rhodostrophia pudorata,48.4297972899683,38.3563884900064,1,38.3563884900064
Rhodostrophia vibicaria,32.371049035379,38.1541009823819,1,38.1541009823819
Satyrium acaciae,21.3010953899369,32.014903783593,1,32.014903783593
Satyrium esculi,36.4546377093783,34.1397735625906,1,34.1397735625906
Satyrium ilicis,35.1897440052473,37.7737612536394,1,37.7737612536394
Satyrium pruni,26.4581736863597,30.5956252248793,1,30.5956252248793
Satyrium spini,40.9641531723396,37.1394263004239,1,37.1394263004239
Satyrium w-album,34.8189686074286,26.0177731621111,1,26.0177731621111
Satyrus actaea,72.9480801800637,64.4099899541661,1,64.4099899541661
